Restaurant,Restauracja
Coffeehouse,Kawiarnia
To order (perfective),Zamowić
To order (imperfective),Zamawiać
Sounds good,Coś dobre brzmi
Dessert,Deser
Ready,Gotowy
To book (perfective),Zarezerwować
To book (imperfective),Rezerwować
People,Ludzie
Persons,Osoby
To invite (perfective),Zaprosić
To invite (imperfective),Zapraszać
Birthday,Urodziny
To enter (perfective),Wejść
To enter (imperfective),Wchodzić
Reservation,Rezerwacja
Right away,Zaraz
To give/pass (perfective),Podać
To give/pass (imperfective),Podawać
Tonic,Tonik
To recommend (perfective),Polecić
To recommend (imperfective),Polecać
The same,To samo
For now,Na razie
To smoke (perfective),Zapalić
To smoke (imperfective),Palić
Garden,Ogród
Pork,Wieprzowina
Veal,Cielęcina
Turkey,Indyk
To try (perfective), Spróbować
To try (imperfective), Próbować
Excellent,Znakomity
Not bad,Niezły
Terrible,Okropny
To taste,Smakować
None,Żadnego
Twin,Bliźniak
Identical,Identyczny
Everywhere,Wszędzie
Party,Impreza
Test,Testu
To spend (time)(perfective),Spędzić
To spend (time)(imperfective),Spędzać
To spend (money)(perfective),Wydać
To spend (money)(imperfective),Wydawać
To visit (a place)(perfective),Zwiedzić
To visit (a place)(imperfective),Zwiedzać
Extra,Dodatek
To solve (perfective),Rozwiązać
To solve (imperfective),Rozwiązywać
